English sentence,Swahii Translation
Dust could cause diseases like influenza.,Vumbi linaweza kusababisha magonjwa kama mafua.
The chickens poked their heads inside the front door.,Kuku walisukuma vichwa vyao ndani ya mlango wa mbele.
We rear some hens in our compound at home.,Sisi nyuma ya kuku katika kiwanja chetu nyumbani.
Mother scolded the young children for playing in mud.,Mama alimkasirisha watoto wadogo kwa kucheza kwenye matope.
He usually has wonderful ideas on almost everything.,Kawaida huwa na maoni mazuri juu ya kila kitu.
She went and filled the bucket with water from the spring.,Alikwenda na kujaza ndoo na maji kutoka chemchemi.
 The poultry farmer had a lot of trouble catching her chickens ., Mkulima wa kuku alikuwa na shida nyingi kumshika kuku.
"When you bathe, you feel fresh.","Unapooga, unahisi safi."
I do not think that chicken bathe.,Sidhani kama kuku kuoga.
Chicken have wings too.,Kuku huwa na mabawa pia.
The lake water is still during the night.,Maji ya ziwa bado ni wakati wa usiku.
I do not have time to sleep during the day.,Sina wakati wa kulala wakati wa mchana.
She nodded her head in disagreement.,Alitikisa kichwa chake kwa kutokubaliana.
How do you dry your hair after washing it?,Je! Unakaushaje nywele zako baada ya kuosha?
The heavy rain wetted the chickens' feathers.,Mvua nzito ilinyesha manyoya ya kuku.
He stood still for the photograph to be taken.,Alisimama kwa picha hiyo ichukuliwe.
How do you take care of your poultry?,Je! Unatunzaje kuku wako?
She had finished using the saucepan.,Alikuwa amemaliza kutumia sufuria.
I rear about fifty ducks on my poultry farm.,Nina nyuma kama bata hamsini kwenye shamba langu la kuku.
You cannot eat chicken with feathers.,Hauwezi kula kuku na manyoya.
Children were left to sleep during the day.,Watoto waliachwa kulala wakati wa mchana.
I only have three aunts.,Nina shangazi tatu tu.
I wonder why the twins did not like each other.,Nashangaa kwanini mapacha hawakupendana.
The couple took two months to prepare for their wedding.,Wanandoa walichukua miezi miwili kujiandaa kwa harusi yao.
The maize was laid out in the sun to dry.,Mahindi yaliwekwa kwenye jua kukauka.
We only ate snacks for super.,Tulikula vitafunio tu kwa super.
She wrapped a cloth around her waist.,Alifunga kitambaa kwenye kiuno chake.
All my sisters are single.,Dada zangu wote hawajaoa.
Pumpkins are delicious for me.,Maboga ni ya kupendeza kwangu.
How did she become famous?,Je! Alikuwaje maarufu?
He eats from a big bowl.,Anakula kutoka bakuli kubwa.
My mother has a vegetable garden.,Mama yangu ana bustani ya mboga.
He had kept his money in three bundles.,Alikuwa ameweka pesa zake katika vifungu vitatu.
I am planning to start a poultry farm.,Ninapanga kuanza shamba la kuku.
She cried of back pain.,Alilia maumivu ya mgongo.
We nolonger cook from the pot.,Sisi nolonger kupika kutoka sufuria.
Someone was walking around the house at night.,Mtu alikuwa akitembea karibu na nyumba usiku.
He lives in a grass thatched roof.,Anaishi katika paa iliyotiwa nyasi.
"The next day the sun rose in good time for the wedding 
","Siku iliyofuata jua liliibuka katika wakati mzuri wa harusi
"
The poulty farmers checks on his chicken both in the morning and evening.,Wakulima wa kuku huangalia kuku wake asubuhi na jioni.
There was a snake in the grass.,Kulikuwa na nyoka kwenye nyasi.
My clothes dried well in the sun.,Nguo zangu zilikauka vizuri kwenye jua.
At what time do you eat your breakfast?,Unakula kiamsha kinywa chako saa ngapi?
My sister's wedding was so wonderful.,Harusi ya dada yangu ilikuwa ya ajabu sana.
The chicken jumped on the kitchen roof.,Kuku akaruka juu ya paa la jikoni.
The church choir sang in their loudest and sweetest voices.,Kwaya ya kanisa iliimba kwa sauti zao kubwa na tamu.
What was the priest's sermon about?,Mahubiri ya kuhani yalikuwa nini?
His grandfather snored loudly in the middle of the sermon.,Babu yake aligonga kwa sauti kubwa katikati ya mahubiri.
The wedding cake was very big and sweet.,Keki ya harusi ilikuwa kubwa sana na tamu.
The bride groom's father gave a wonderful speech.,Baba ya bwana harusi alitoa hotuba nzuri.
The coffee was spread in the compound to dry.,Kofi ilienea kwenye kiwanja kukauka.
I sit next to her in the classroom.,Nakaa karibu naye darasani.
Chicken cannot fly so high.,Kuku haiwezi kuruka juu sana.
Everyone at the table laughed at her comment.,Kila mtu kwenye meza alicheka maoni yake.
The lady next to me put her head down on to the table.,Mwanamke aliye karibu nami akaweka kichwa chake kwenye meza.
We decided to join the meeting.,Tuliamua kujiunga na mkutano.
The guests screamed with laughter.,Wageni walipiga kelele kwa kicheko.
I want to reduce the size of my belly.,Nataka kupunguza ukubwa wa tumbo langu.
 The women rolled around in their chairs ., Wanawake walizunguka katika viti vyao.
The boys and girls are now grown up.,Wavulana na wasichana sasa wamekua.
"In this world, we need one another.","Katika ulimwengu huu, tunahitajina."
He bought for grandfather a walking stick.,Alinunua kwa babu fimbo ya kutembea.
Why are those women giggling?,Kwa nini wanawake hao wanagonga?
He opened his mouth wide with laughter.,Akafungua mdomo wake kwa kicheko.
"She threw back her head and leaned against the chair.
","Akarudisha kichwa chake na kutegemea kiti.
"
There was no entertainment at the wedding.,Hakukuwa na burudani kwenye harusi.
You are so lucky.,Una bahati sana.
I wash my clothes over the weekend.,Ninaosha nguo zangu mwishoni mwa wiki.
Pregnant women give birth after a period of nine months.,Wanawake wajawazito huzaa baada ya kipindi cha miezi tisa.
I grew up healthy and strong.,Nilikua na afya na nguvu.
She puts the baby to bed every night.,Yeye huweka mtoto kitandani kila usiku.
My mother makes sure that we are all away by seven in the morning.,Mama yangu anahakikisha kuwa sote tuko mbali na saba asubuhi.
She took me shopping at the market.,Alinichukua ununuzi kwenye soko.
I chose my own shoes and clothes.,Nilichagua viatu vyangu na nguo.
"My elder sister always counselled me whenever I went wrong.
","Dada yangu mzee kila wakati alinishauri kila nilipokosea.
"
I will never forget mother's love in my life.,Sitasahau upendo wa mama katika maisha yangu.
She lost her mother last year.,Alipoteza mama yake mwaka jana.
The tailor bought threads and a needle from the shop.,Tailor alinunua nyuzi na sindano kutoka duka.
He is so happy to be a father.,Anafurahi sana kuwa baba.
She will finish sewing her skirt with the thread.,Atamaliza kushona sketi yake na uzi.
This is my own shop.,Hii ni duka langu mwenyewe.
She is sewing new dresses for the children.,Anashona nguo mpya kwa watoto.
She is sewing a skirt.,Anashona sketi.
What is used for sewing?,Ni nini kinachotumika kwa kushona?
There are different colours of threads.,Kuna rangi tofauti za nyuzi.
How much do threads cost?,Je! Nyuzi zinagharimu kiasi gani?
She needed money to buy threads.,Alihitaji pesa kununua nyuzi.
Where will she get some money for rent?,Atapata wapi pesa za kukodisha?
The man is selling threads.,Mtu anauza nyuzi.
She buys threads in bulk.,Yeye hununua nyuzi kwa wingi.
I do not eat bread.,Sila mkate.
She bought two loves of bread.,Alinunua upendo mbili za mkate.
He saw a bird on the tree.,Aliona ndege kwenye mti.
There is a big tree near our house.,Kuna mti mkubwa karibu na nyumba yetu.
The mango tree has many fruits.,Mti wa Mango una matunda mengi.
What is your favourite fruit?,Je! Ni matunda gani unayopenda?
Papayas are delicious fruits.,Papayas ni matunda ya kupendeza.
The sick boy was taken to the hospital.,Mvulana mgonjwa alipelekwa hospitalini.
She bought alot of fruits from the market.,Alinunua matunda mengi kutoka soko.
She saw alot of things in the market.,Aliona vitu vingi kwenye soko.
She did not buy the sieve.,Hakununua ungo.
There very many tomato sellers in the food market.,Kuna wauzaji wengi wa nyanya katika soko la chakula.
We need tomatoes to cook nice sauce.,Tunahitaji nyanya kupika mchuzi mzuri.
At what time did you go to the market?,Ulienda sokoni saa ngapi?
She went to the market with a polythene bag.,Alikwenda sokoni na begi ya polythene.
She wants to sell pawpaws.,Yeye anataka kuuza pawpaws.
Look at that shabby man.,Angalia mtu huyo wa shabby.
The man is her loyal customer.,Mtu huyo ni mteja wake mwaminifu.
He gave money to his wife.,Alimpa pesa mkewe.
She sold lots of papayas on that day.,Aliuza papaya nyingi siku hiyo.
How can she get the goods that she wants?,Anawezaje kupata bidhaa ambazo anataka?
There is alot of food in the market.,Kuna chakula kingi kwenye soko.
She did not have enough money to buy bananas.,Hakuwa na pesa za kutosha kununua ndizi.
How much money do you need to go shopping?,Je! Unahitaji pesa ngapi kwenda kununua?
Animals of the same kind live together.,Wanyama wa aina hiyo hiyo hukaa pamoja.
Most kings inherited the throne from their fore fathers.,Wafalme wengi walirithi kiti cha enzi kutoka kwa baba zao wa mbele.
She wanted her son to be the king.,Alitaka mtoto wake kuwa mfalme.
He lied that he did not have any money.,Alisema uwongo kwamba hakuwa na pesa yoyote.
Animals believe in protecting their young ones.,Wanyama wanaamini katika kuwalinda vijana wao.
Who chose him to be the heir?,Nani alimchagua kuwa mrithi?
The rainy season has ended.,Msimu wa mvua umeisha.
It is wet and cold outside because of the rain. ,Ni mvua na baridi nje kwa sababu ya mvua.
I wear a sweater to warm myself.,Ninavaa sweta kujipasha joto.
Are there foxes in Uganda?,Je! Kuna mbweha nchini Uganda?
How do fox look like?,Je! Fox inaonekanaje?
I bought a bigger comb for my hair.,Nilinunua mchanganyiko mkubwa kwa nywele zangu.
Part of the house did not get burnt.,Sehemu ya nyumba haikuchomwa.
How did the fire start?,Je! Moto ulianzaje?
He did not have any extra money to give her.,Hakuwa na pesa yoyote ya ziada kumpa.
"I want to eat food because, I am angry.","Nataka kula chakula kwa sababu, nina hasira."
What do foxes feed on?,Je! Mbweha hulisha nini?
She always cheats in elections.,Yeye hudanganya kila wakati katika uchaguzi.
I would wish to give birth to twins.,Ningependa kuzaa mapacha.
He was advised to make wise choices in life.,Alishauriwa kufanya uchaguzi wa busara maishani.
She could not see anything because of her blindness.,Hakuweza kuona chochote kwa sababu ya upofu wake.
He wanted to be clever.,Alitaka kuwa mjanja.
"In the past, people with leprosy used to be discriminated.","Hapo zamani, watu walio na ukoma walikuwa wakibaguliwa."
His eyes cannot see clearly.,Macho yake hayawezi kuona wazi.
He became an angry boy because of the leprosy.,Akawa mvulana mwenye hasira kwa sababu ya ukoma.
"With experience, she learnt to be patient.","Kwa uzoefu, alijifunza kuwa na subira."
Her step mother used to treat her badly.,Mama yake wa kambo alikuwa akimtendea vibaya.
Some blind people use sticks to help them move around.,Watu wengine vipofu hutumia vijiti kuwasaidia kuzunguka.
I keep my secrets to myself.,Ninaweka siri zangu kwangu.
How does an elephant protect itself?,Je! Tembo hujikinga vipi?
Some of his fingers were chopped off.,Baadhi ya vidole vyake vilikatwa.
The teacher was kind to him.,Mwalimu alikuwa mkarimu kwake.
We cut the banana bunches off the plant.,Tunakata vifungo vya ndizi kwenye mmea.
He is unhappy about the new changes.,Yeye hafurahii juu ya mabadiliko mapya.
Mother served us hot yams for breakfast.,Mama alituhudumia moto wa moto kwa kiamsha kinywa.
The boy did not wait for the food to cool down.,Mvulana hakungojea chakula hicho kutuliza.
He finished all his food from the plate.,Alimaliza chakula chake chote kutoka kwa sahani.
Everyone will get a share on the jack fruit.,Kila mtu atapata kushiriki kwenye matunda ya jack.
He caught a very hot yam and it burnt his palms.,Alipata yam moto sana na ikawaka mitende yake.
She tried to cool the porridge for the kids to eat.,Alijaribu kutuliza uji kwa watoto kula.
"The fruits fell on the ground.
","Matunda yakaanguka ardhini.
"
The cup fell from her hands.,Kikombe kilianguka kutoka kwa mikono yake.
My friend was annoyed because she missed the train.,Rafiki yangu alikasirika kwa sababu alikosa gari moshi.
Please help me pick the fruits from the ground.,Tafadhali nisaidie kuchagua matunda kutoka ardhini.
I cannot see from a far.,Siwezi kuona kutoka mbali.
I will show you my new dress.,Nitakuonyesha mavazi yangu mapya.
The builders requested for more sand inorder to finish the construction.,Wajenzi waliomba kuandaliwa zaidi kwa mchanga kumaliza ujenzi.
He gave the gift to mother.,Alimpa mama zawadi hiyo.
How many pieces of meat do you have on your plate?,Una vipande ngapi vya nyama kwenye sahani yako?
He ate the piece of meat with his fingers.,Alikula kipande cha nyama na vidole vyake.
How much is a kilogram of meat?,Kilo ya nyama ni kiasi gani?
He tried to steal a piece of meat but he dropped it.,Alijaribu kuiba kipande cha nyama lakini akaitupa.
We shared the goat meat among ourselves.,Tulishiriki nyama ya mbuzi kati yetu.
There were four children crossing the road.,Kulikuwa na watoto wanne wanaovuka barabara.
How did you tell that she is blind?,Je! Uliambiaje kuwa yeye ni kipofu?
The children were hungry but their mother was not at home.,Watoto walikuwa na njaa lakini mama yao hakuwa nyumbani.
What do you do when your hungry?,Je! Unafanya nini wakati njaa yako?
The children were swimming in the river.,Watoto walikuwa wakiogelea kwenye mto.
She cannot swim in dirty water.,Hawezi kuogelea katika maji machafu.
He planned to kill his brother.,Alipanga kumuua kaka yake.
The forest could be a dangerous place to be.,Msitu unaweza kuwa mahali hatari kuwa.
 He picked up a heavy stone and put it under his arm., Akachukua jiwe nzito na kuiweka chini ya mkono wake.
There many stones in the compound.,Kuna mawe mengi kwenye kiwanja.
What did they want from the river?,Walitaka nini kutoka kwa mto?
She used a stick to beat up her child.,Alitumia fimbo kumpiga mtoto wake.
He was teaching me how to swim.,Alikuwa akinifundisha jinsi ya kuogelea.
Elephants are peaceful animals.,Tembo ni wanyama wenye amani.
 He lifted the stone and threw it into the river., Akainua jiwe na kuitupa ndani ya mto.
How big is a hippopotamus?,Je! Hippopotamus ni kubwa kiasi gani?
She wanted to find out more about her father.,Alitaka kujua zaidi juu ya baba yake.
He was swinging his stick round.,Alikuwa akifunga fimbo yake pande zote.
He works very hard to see that his family is well.,Yeye hufanya kazi kwa bidii kuona kwamba familia yake iko vizuri.
The frog jumped into the water.,Chura akaruka ndani ya maji.
Hippopotamuses live in water too.,Hippopotamus huishi katika maji pia.
Most animals live on land.,Wanyama wengi wanaishi kwenye ardhi.
Elephant and hippopotamus are both big wild animals.,Tembo na hippopotamus wote ni wanyama wakubwa wa porini.
My family lives in a busy town.,Familia yangu inaishi katika mji wenye shughuli nyingi.
"He has a cat, two hens, a goat and a dove.","Ana paka, kuku wawili, mbuzi na njiwa."
Some children were throwing stones at the doves.,Watoto wengine walikuwa wakitupa mawe kwenye njiwa.
The children were happy to see her.,Watoto walifurahi kumuona.
"Stop throwing stones, you might hurt someone.","Acha kutupa mawe, unaweza kuumiza mtu."
He took two ducks home to look after them.,Alichukua bata wawili nyumbani kuwatunza.
She fed the hungry children.,Alilisha watoto wenye njaa.
She works in a clinic.,Yeye hufanya kazi katika kliniki.
Some animals like cats are friends to people.,Wanyama wengine kama paka ni marafiki kwa watu.
 We protect our livestock on the farm., Tunalinda mifugo yetu kwenye shamba.
My nephew loves animals.,Mpwa wangu anapenda wanyama.
How are pumpkin seeds planted?,Je! Mbegu za malenge hupandwaje?
"With time, seeds grow into the big plants.","Kwa wakati, mbegu hukua ndani ya mimea kubwa."
The pumpkin blocked her garden path.,Malenge yalizuia njia yake ya bustani.
She moved the tomato seeds from the nursery bed to the garden.,Alihamisha mbegu za nyanya kutoka kitandani cha kitalu kwenda kwenye bustani.
She went to her neighbour for help.,Alikwenda kwa jirani yake kwa msaada.
He asked me to help her with her assignment.,Aliniuliza nimsaidie na mgawo wake.
The truck that fell was blocking the road for other cars.,Lori lililoanguka lilikuwa likizuia barabara kwa magari mengine.
"Normally, ladies do not have alot of strength.","Kawaida, wanawake hawana nguvu nyingi."
She went to the bank.,Alikwenda benki.
We shall be moving to a new place this year.,Tutakuwa tukihamia mahali mpya mwaka huu.
He came to help us.,Alikuja kutusaidia.
The pumpkin is heavy.,Malenge ni nzito.
He does not know what to do with his life.,Hajui la kufanya na maisha yake.
There worms in the garden.,Kuna minyoo kwenye bustani.
The little girl is hungry.,Msichana mdogo ana njaa.
Do you eat pumpkins?,Je! Unakula maboga?
Stop killing innocent dogs.,Acha kuua mbwa wasio na hatia.
Worms hide with in the soil.,Minyoo hujificha kwenye mchanga.
She tickled the baby and it laughed.,Alimtia mtoto na akacheka.
I do not like this food.,Sipendi chakula hiki.
The stone rolled down the hill and it hit their house.,Jiwe likavingirisha chini ya kilima na likagonga nyumba yao.
There some trees at the bottom of the hill.,Kuna miti kadhaa chini ya kilima.
He hired two shepherds to take care of his sheep.,Aliajiri wachungaji wawili kutunza kondoo wake.
People eat pumpkins as food.,Watu hula maboga kama chakula.
"Let us eat together.
","Wacha tula pamoja.
"
We cut the pumpkin into pieces and cooked it.,Tunakata malenge vipande vipande na kuipika.
He cried over the death of his grandmother.,Alilia juu ya kifo cha bibi yake.
What is the role of a shepherd?,Je! Ni jukumu gani la mchungaji?
He grows a few pumpkins on his farm.,Yeye hukua maboga machache kwenye shamba lake.
The seeds of a pumpkin are very nutritious.,Mbegu za malenge ni lishe sana.
" She had one arm, one eye and one leg."," Alikuwa na mkono mmoja, jicho moja na mguu mmoja."
She looked very terrible in the long dress.,Alionekana kutisha sana katika mavazi marefu.
My brother has a big thick voice.,Ndugu yangu ana sauti kubwa nene.
What kind of crops do you grow?,Je! Unakua mazao ya aina gani?
Pumpkins grow from the ground.,Maboga hukua kutoka ardhini.
The shepherds were fightened by the lightening.,Wachungaji walipigwa na umeme.
The children ran home to tell their parents about what they had seen.,Watoto walikimbilia nyumbani kuwaambia wazazi wao juu ya kile walichokiona.
He is so lucky to have rich parents.,Ana bahati sana kuwa na wazazi matajiri.
What do you know about pumpkins?,Je! Unajua nini kuhusu maboga?
She requested to leave her alone.,Aliomba kumuacha peke yake.
Pumpkins have many seeds in them.,Maboga yana mbegu nyingi ndani yao.
We have plenty of food to eat at home.,Tuna chakula kingi cha kula nyumbani.
"In Uganda, we have both sunny and rainy seasons.","Nchini Uganda, tunayo misimu ya jua na ya mvua."
We bought seeds for planting.,Tulinunua mbegu za kupanda.
Pumpkins need alot of water to grow well.,Maboga yanahitaji maji mengi kukua vizuri.
She climbed the tree with both legs.,Alipanda mti na miguu yote miwili.
I have visited most of the villages in the district.,Nimetembelea vijiji vingi wilayani.
She threw all the seeds across the tilled ground.,Alitupa mbegu zote kwenye ardhi iliyokatwa.
"He has gardens in the valley.
","Ana bustani katika bonde.
"
That season everyone in the village had lots of pumpkins to eat.,Msimu huo kila mtu katika kijiji alikuwa na maboga mengi ya kula.
He went to office to work.,Alikwenda ofisini kufanya kazi.
Why was she calling me?,Kwa nini alikuwa akiniita?
How long do pumpkins take to grow?,Maboga huchukua muda gani?
All animals sleep at night.,Wanyama wote hulala usiku.
Not everyone was willing to listen to his stories.,Sio kila mtu alikuwa tayari kusikiliza hadithi zake.
What time do you go to bed?,Unalala saa ngapi?
We did everything out in the open.,Tulifanya kila kitu wazi.
The hens are kept in a pen.,Kuku huhifadhiwa kwenye kalamu.
Pigs' meat is my favourite meat.,Nyama ya nguruwe ni nyama ninayopenda.
I started rearing some pigs last year.,Nilianza kukuza nguruwe kadhaa mwaka jana.
Who burnt their house?,Nani alichoma nyumba yao?
I will not burn my books even though am done with school.,Sitachoma vitabu vyangu hata nimemaliza shule.
The farmer uses alot of water on his farm.,Mkulima hutumia maji mengi kwenye shamba lake.
Alot of property was destroyed in the fire.,Mali mengi yaliharibiwa kwa moto.
He knows how to milk a cow.,Anajua jinsi ya maziwa ya ng'ombe.
Drinking boiled water is good.,Kunywa maji ya kuchemsha ni nzuri.
What animals does he rear on his farm?,Je! Anainua wanyama gani kwenye shamba lake?
My mother does not consume any milky products.,Mama yangu hatumii bidhaa yoyote ya milky.
I take medicine with water.,Nachukua dawa na maji.
I do not drink alcohol.,Sinywi pombe.
Nobody got to know the cause of the fire.,Hakuna mtu aliyepata kujua sababu ya moto.
We managed to put out the fire with water.,Tulifanikiwa kuweka moto na maji.
People burn charcoal to make charcoal.,Watu huchoma mkaa kutengeneza mkaa.
She burnt her old dress.,Alichoma mavazi yake ya zamani.
Some cattle keepers tend to whip the cows while grazing.,Wengine wa ng'ombe huwa wanapiga ng'ombe wakati wa malisho.
She got annoyed becuase no one welcomed her.,Alikasirika kwa sababu hakuna mtu aliyemkaribisha.
There is no need for you to whip the cattle.,Hakuna haja ya wewe kupiga ng'ombe.
I will go into the sty and clean it.,Nitaenda kwenye sty na kuisafisha.
She lays her bed every morning.,Yeye huweka kitanda chake kila asubuhi.
Pigs are amazing animals.,Nguruwe ni wanyama wa kushangaza.
He was walking on the road when the cyclist knocked him down.,Alikuwa akitembea barabarani wakati baiskeli huyo alipomgonga.
The lion was resting in the grass.,Simba alikuwa akipumzika kwenye nyasi.
He was full of fear when he was left in the dark room alone.,Alikuwa amejaa hofu wakati aliachwa kwenye chumba cha giza peke yake.
The sound woke up the lion from its sleep.,Sauti iliamka simba kutokana na usingizi wake.
He climbed a tall tree.,Alipanda mti mrefu.
The lion did not eat him.,Simba hakumkula.
He fell asleep during the meeting.,Alilala wakati wa mkutano.
"He fell down from the tree and broke his arm.
","Alianguka chini kutoka kwa mti na kuvunja mkono.
"
What scares a lion most?,Ni nini kinachotisha simba zaidi?
A judgment can be in writing or given orally in court.,Hukumu inaweza kuwa kwa maandishi au kupewa kwa mdomo mahakamani.
Everyone laughed at him when he lost that court case.,Kila mtu alicheka kwake wakati alipoteza kesi hiyo ya korti.
My father grew pineapples and watermelons on his farm.,Baba yangu alikua mananasi na tikiti kwenye shamba lake.
He is a poor and arrogant man.,Yeye ni mtu masikini na mwenye kiburi.
That rich man has looked for a wife for a long time.,Mtu huyo tajiri ametafuta mke kwa muda mrefu.
"When my brother married, he was blessed by our parents and the elders.","Wakati kaka yangu alioa, alibarikiwa na wazazi wetu na wazee."
"After years of marriage, she began to worry because she didn't have a child.","Baada ya miaka ya ndoa, alianza kuwa na wasiwasi kwa sababu hakuwa na mtoto."
My friend has visited different churches praying for a child.,Rafiki yangu ametembelea makanisa tofauti akiombea mtoto.
She feels shame and guilt because she cannot produce a child.,Anahisi aibu na hatia kwa sababu hawezi kuzaa mtoto.
I bought a beautiful dress for my daughter.,Nilinunua mavazi mazuri kwa binti yangu.
The doctor told her that she was two weeks pregnant.,Daktari alimwambia kwamba alikuwa na ujauzito wa wiki mbili.
I am very happy and excited to hear such good news.,Nimefurahi sana na nimefurahi kusikia habari njema kama hizi.
"My neighbour gave birth to a baby boy.
","Jirani yangu alizaa mtoto wa kiume.
"
My parents were happy and rejoiced when my brother passed his exams.,Wazazi wangu walikuwa na furaha na walifurahi wakati kaka yangu alipitisha mitihani yake.
He gave his teacher a big gift thanking him for the teaching he offered.,Alimpa mwalimu wake zawadi kubwa akimshukuru kwa mafundisho aliyotoa.
She always goes to her elders for advice.,Yeye daima huenda kwa wazee wake kwa ushauri.
We go to church every Sunday.,Tunakwenda kanisani kila Jumapili.
I found two men standing at the church entrance.,Nilipata wanaume wawili wamesimama kwenye mlango wa kanisa.
Those two brothers always fight each other.,Wale ndugu wawili wanapigana kila wakati.
He refused to reconcile with his friend and left in anger.,Alikataa kupatanisha na rafiki yake na akaondoka kwa hasira.
The woman went near the church.,Mwanamke huyo alienda karibu na kanisa.
"After Sunday service, people normally stand outside to greet each other.","Baada ya ibada ya Jumapili, kawaida watu husimama nje kusalimiana."
It is good to forgive each other from the heart.,Ni vizuri kusameheana kutoka moyoni.
He knelt and asked me for forgiveness.,Alipiga magoti na kuniuliza msamaha.
Why don't you forgive your friend?,Kwanini usimsamehe rafiki yako?
I met my old school friend and we exchanged our phone numbers. ,Nilikutana na rafiki yangu wa zamani wa shule na tukabadilishana nambari zetu za simu.
He offered her a brand new car.,Alimpa gari mpya.
The young man angrily asked her what she had carried in the bag.,Kijana huyo alimwuliza kwa hasira ni nini alikuwa amebeba kwenye begi.
I don't understand why you are giving me this present.,Sielewi kwanini unanipa zawadi hii.
He narrated everything that had happened to his parents.,Alisimulia kila kitu ambacho kilikuwa kimetokea kwa wazazi wake.
He refused to apologise to his wife.,Alikataa kuomba msamaha kwa mkewe.
You are an evil person.,Wewe ni mtu mwovu.
She stretched out her arms and legs in preparation for the netball match.,Alinyoosha mikono na miguu yake katika kuandaa mechi ya mpira wa wavu.
The man ran back to church to confess his sins to the priest.,Mtu huyo alirudi kanisani ili kukiri dhambi zake kwa kuhani.
He was forgiven and given a second chance to work in that company.,Alisamehewa na kupewa nafasi ya pili ya kufanya kazi katika kampuni hiyo.
I am sorry for reaching late at work.,Samahani kwa kufika marehemu kazini.
We always greet our elders while kneeling down.,Sisi daima tunawasalimu wazee wetu wakati tunapiga magoti.
"When they met, she gave him a hug.","Walipokutana, alimkumbatia."
I spent time searching trying to find my passport.,Nilitumia wakati kutafuta kujaribu kupata pasipoti yangu.
We should always keep ourselves from hurting others.,Tunapaswa kujizuia kila wakati kuumiza wengine.
What happens in the market?,Ni nini hufanyika katika soko?
Children should always stay close to their loved ones.,Watoto wanapaswa kukaa karibu na wapendwa wao kila wakati.
Every mother loves her child dearly.,Kila mama anampenda mtoto wake.
"During holidays, children help out their parents.","Wakati wa likizo, watoto husaidia wazazi wao."
She works with her mother at the market.,Yeye hufanya kazi na mama yake kwenye soko.
Some children were moving around the village selling tomatoes.,Watoto wengine walikuwa wakizunguka kijiji wakiuza nyanya.
I have to plan for what my family will eat.,Lazima nipange kwa kile familia yangu itakula.
They make their delicious meals when they arrive home.,Wao hufanya milo yao ya kupendeza wanapofika nyumbani.
That book will teach you about the different cultures in Africa.,Kitabu hicho kitakufundisha juu ya tamaduni tofauti barani Afrika.
"She is a very beautiful, and hardworking girl.","Yeye ni msichana mzuri sana, na anayefanya bidii."
She is getting married very soon.,Anaoa hivi karibuni.
Some girls in our village never wanted to get married.,Wasichana wengine katika kijiji chetu hawakutaka kuoa.
She likes reading her brother's school notes a lot.,Yeye anapenda kusoma maelezo ya shule ya kaka yake.
Her father found out that she was unhappy about the arranged marriage.,Baba yake aligundua kuwa hakuwa na furaha juu ya ndoa iliyopangwa.
A very rich man wanted to marry her.,Mtu tajiri sana alitaka kumuoa.
Some parents marry off their underage daughters.,Wazazi wengine huolewa na binti zao wa chini.
The old man gave her father cows in exchange for her underage daughter.,Mzee huyo alimpa ng'ombe wa baba yake badala ya binti yake mchanga.
"He asked her what she wanted to do instead of marriage.
","Alimuuliza anataka kufanya nini badala ya ndoa.
"
The young girl wants to go to school like her brother.,Msichana mdogo anataka kwenda shule kama kaka yake.
Some parents don't want to educate a girl child.,Wazazi wengine hawataki kuelimisha mtoto wa kike.
Why don't you want to go to school?,Kwa nini hutaki kwenda shule?
I am sure I will do well if you allow me to join school.,Nina hakika nitafanya vizuri ikiwa utaniruhusu kujiunga na shule.
Of what use is education to you?,Je! Elimu ni ya matumizi gani kwako?
"In our village, girls stay at home helping with house chores.","Katika kijiji chetu, wasichana hukaa nyumbani wakisaidia kazi za nyumbani."
He is a very rich man and he will give you everything you need.,Yeye ni mtu tajiri sana na atakupa kila kitu unachohitaji.
"The girl never wanted the old man's money, she wanted to go to school.","Msichana hakuwahi kutaka pesa za mzee, alitaka kwenda shule."
There is a Non-Government Organisation that encourages girls to go to school.,Kuna shirika lisilo la serikali ambalo linawahimiza wasichana kwenda shule.
The organisation headquarters are in the trading centre.,Makao makuu ya shirika iko katika kituo cha biashara.
The lawyer threatened my father to charge him in court.,Wakili huyo alimtishia baba yangu kumshtaki mahakamani.
The lawyer made sure she wasn't forced into marriage.,Wakili alihakikisha kuwa hajalazimishwa kwenye ndoa.
She was able to go to school and excelled in class.,Aliweza kwenda shule na bora darasani.
I got a scholarship to study Law at the university.,Nilipata udhamini wa kusoma sheria katika chuo kikuu.
Her father is very proud of her and regrets for almost preventing her destiny.,Baba yake anajivunia sana na anajuta kwa karibu kuzuia umilele wake.
She is a human rights activist who helps girls who are forced into marriage.,Yeye ni mwanaharakati wa haki za binadamu ambaye husaidia wasichana ambao wanalazimishwa kwenye ndoa.
"She wants every girl to know that she is just as important as any boy
","Anataka kila msichana ajue kuwa yeye ni muhimu kama mvulana yeyote
"
There should be equal treatment for both men and women.,Lazima kuwe na matibabu sawa kwa wanaume na wanawake.
These children live next to a busy road.,Watoto hawa wanaishi karibu na barabara yenye shughuli nyingi.
My grandfather sat outside to watch the activities of the streets.,Babu yangu alikaa nje kutazama shughuli za mitaa.
Taxis carry people to work every day.,Teksi hubeba watu kufanya kazi kila siku.
